asn,name,cc,rir,cone,verdict,has_real_aspa,declared_providers,inferred_upstreams,jaccard_overlap
62087,Host Europe GmbH,DE,ripencc,0,NOT ROUTED,False,,,
62088,ForestNet LLC,RU,ripencc,0,NOT ROUTED,False,,,
62090,Randers Kommune,DK,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,39642;31027,
62092,NTS NETWORK SPA,IT,ripencc,0,STUB: VULNERABLE,False,,60501,
62093,Cicorella srl,IT,ripencc,0,STUB: FORTUITOUS ROV,False,,12874;41327,
62094,Midasplayer AB,SE,ripencc,0,NOT ROUTED,False,,,
62095,DT Iletisim Hizmetleri A.S.,TR,ripencc,0,STUB: VULNERABLE,False,,34984;43298;59796;12735,
62096,Military unit A0351,UA,ripencc,0,STUB: UNRELIABLE,False,,21219;15895,
62097,Broadband Hosting B.V.,NL,ripencc,0,STUB: VULNERABLE,False,,7713;6939;24785;20485,
62098,Espix Network SPRL,BE,ripencc,0,STUB: VULNERABLE,False,,208226;35661,
62099,"JM-Networks, s.r.o.",CZ,ripencc,0,STUB: VULNERABLE,False,,39392;6939,
62100,Fiber Networks Services S.A.R.L,LB,ripencc,0,NOT ROUTED,False,,,
62101,COMPANIA NATIONALA AEROPORTURI BUCURESTI SA,RO,ripencc,0,STUB: VULNERABLE,False,,12310,
62102,"Prazska plynarenska, a.s.",CZ,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,29208,
62103,AirLink Ltd.,RU,ripencc,0,STUB: VULNERABLE,False,,3216;9002;6939;57304,
62104,Computer Service Internet Service Provider S.L.,ES,ripencc,0,STUB: VULNERABLE,False,,12541;8903,
62105,Jonaz B.V.,NL,ripencc,1,PARTIAL: VULNERABLE (Mixed),False,,20485;9002;174;30844;24785;6939;3356,
62106,Cable Internet Systems Ltd.,BG,ripencc,0,STUB: VOLATILE,False,,57344;6939;31287,
62107,ASLINE LIMITED,HK,apnic,0,NOT ROUTED,False,,,
272859,WAYIRA NET S.A.S.,CO,lacnic,0,STUB: VULNERABLE,False,,52468;61461,
62109,ILYAZ GmbH,DE,ripencc,0,NOT ROUTED,False,,,
62110,Leader PI CI Ltd.,BG,ripencc,0,STUB: UNRELIABLE,False,,60349,
62111,Viacheslav Adamanov,UA,ripencc,0,NOT ROUTED,False,,,
62112,XConnect Services Limited,GB,ripencc,0,STUB: VULNERABLE,False,,8551,
62113,Kracon ApS,DK,ripencc,0,STUB: PASSIVE (Clean Pipe),True,205235,205235,1.0
62114,GARMIN Cluj SRL,RO,ripencc,0,NOT ROUTED,False,,,
62115,State Specialized Russian Export-Import Bank (Joint-Stock Company),RU,ripencc,0,STUB: VULNERABLE,False,,3216;8595,
62116,Benders Sverige AB,SE,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,1257;8473,
272862,VILLA DIGITAL SRL,AR,lacnic,0,REGRESSED,False,,52444,
62119,Root SAS,FR,ripencc,0,STUB: VULNERABLE,False,,7713;33891;9002;35661;34927;6939,
62120,PRO-PING d.o.o.,HR,ripencc,0,NOT ROUTED,False,,,
62121,Christian Ebsen ApS,DK,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,31027,
62122,Renaissance Life Insurance Company Limited,RU,ripencc,0,STUB: VULNERABLE,False,,201706,
62123,Rapid Telecommunications W.L.L.,BH,ripencc,0,STUB: VULNERABLE,False,,31452,
62124,Universal Card Systems SA,RO,ripencc,0,NOT ROUTED,False,,,
62125,Proact Netherlands B.V.,NL,ripencc,0,STUB: VOLATILE,False,,49033,
272863,SISTEMAS GLOBALES DE COMUNICACION HCGLOBAL S.A.,EC,lacnic,0,NOT ROUTED,False,,,
62127,Elgeka-Ferfelis Romania SA,RO,ripencc,0,STUB: VULNERABLE,False,,5606,
62128,Russ Outdoor LLC,RU,ripencc,0,NOT ROUTED,False,,,
62129,Wireless Connect Ltd.,IE,ripencc,2,PARTIAL: VULNERABLE (Mixed),False,,6939;6204,
62130,"LLC ""Trans Analitica""",RU,ripencc,0,STUB: VULNERABLE,False,,58002;31133;8359,
62131,Glesys AB,SE,ripencc,0,STUB: VULNERABLE,False,,42708,
62132,MEHREGAN ERTEBATAT NOVIN ASIA CO.,IR,ripencc,0,NOT ROUTED,False,,,
62133,RANHiGS,RU,ripencc,0,STUB: VULNERABLE,False,,3216;12389,
62134,"IHNetworks, LLC",US,arin,0,STUB: PASSIVE (Clean Pipe),False,,46475,
62135,"Join-stock company ""Internet Exchange""MSK-IX""",RU,ripencc,0,STUB: VULNERABLE,False,,8985;12389,
272865,"INVERSIONES SMARTBYTE, C.A.",VE,lacnic,0,STUB: UNRELIABLE,False,,263703,
62137,Manzoomeh Negaran Co. (PJS),IR,ripencc,0,NOT ROUTED,False,,,
62138,Aarhus Universitet,DK,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,1835,
62139,Gottex Brokers SA,CH,ripencc,0,STUB: VULNERABLE,False,,25091;8220,
62140,"""Rightel Communication Service Company PJS""",IR,ripencc,0,NOT ROUTED,False,,,
62141,COMPAGNIE NATIONALE DU RHONE S.A.,FR,ripencc,0,STUB: VOLATILE,False,,39801;6939;30781;174,
62142,KONNEKTIKA LLC.,RU,ripencc,0,STUB: VULNERABLE,True,9049;211366,9049,0.5
62143,FSUE RTRN,RU,ripencc,0,STUB: VULNERABLE,False,,20485,
62144,BBAC S.A.L.,LB,ripencc,0,STUB: VULNERABLE,False,,31126,
62145,BANGO.NET Ltd,GB,ripencc,0,STUB: VULNERABLE,False,,25180,
62146,OPTI Scientific Production Enterprise Ltd,UA,ripencc,0,STUB: VULNERABLE,False,,35320;44894,
62147,Marinex Ampol 2 Telewizja Kablowa Sp zoo,PL,ripencc,0,STUB: VULNERABLE,False,,20804;29535,
272868,SEQURE NETWORKS SRL,DO,lacnic,0,STUB: VULNERABLE,False,,265721,
