asn,count,cone,name
44356,11,14,Epsilon Telecommunications Ltd
42346,11,14,NorthC Schweiz AG
45796,11,13,UIH / BB Connect
9886,11,13,CTCSCI TECH LIMITED
41960,11,12,Nextpertise B.V.
34428,11,11,Giulio Lo Presti
20647,11,11,IPB Internet Provider in Berlin GmbH
21453,11,11,Flex Ltd.
25160,11,10,Vorboss Limited
203329,11,9,NTT Global Data Centers EMEA GmbH
12637,11,9,Seeweb s.r.l.
136897,11,9,Enjoyvc Cloud Group Limited.
16696,11,9,iTel Networks Inc
20847,11,8,Previder B.V.
200899,11,8,INTERSPACE DOOEL Skopje
39572,11,8,DataWeb Global Group B.V.
48152,11,7,Digital Frankfurt GmbH
13000,11,7,Leon Sp. z o.o.
42689,11,7,Glide Student & Residential Limited
47957,11,7,Worldline IGSA SA
51945,11,7,Enlink Ltd
50131,11,6,Spartan Host Ltd
60280,11,6,National Traffic Exchange Center (Belarus)
149522,11,6,"OneCubit Co., Ltd."
62887,11,5,"WhiteSky Communications, LLC."
16247,11,5,Convergence Group (Wireless) Networks Limited
21100,11,5,ROUTE 95 LLC
56704,11,5,Farice ehf
23673,11,5,"Cogetel Online, Cambodia, ISP"
133847,11,5,Anpple Tech Enterprise
12496,11,4,Infinity Developments Limited
33724,11,4,VOLICO
28118,11,4,ALTICE DOMINICANA S.A.
8468,11,4,Cityfibre Limited
266435,11,4,THE FIBER INTERNET BANDA LARGA
37054,11,3,Telecom Malagasy
14114,11,3,SAP NIE
48940,11,3,Link Ltd.
43142,11,3,ADELI SAS
13122,11,3,Manx Telecom Trading Ltd
21056,11,3,Vianova S.p.A
35574,11,3,SED Multitel s.r.l.
22351,11,3,INTELSAT GLOBAL SERVICE CORPORATION
263812,11,3,SONDATECH S.A.S.
23930,11,3,VITRO INC.
198651,11,3,"HOSTLINE, UAB"
50923,11,3,Metroset Ltd.
61317,11,2,Hivelocity LLC
201701,11,2,Freifunk Rheinland e.V.
21409,11,2,Ikoula Net SAS
4849,11,2,S3 Company Ltd
26141,11,2,CubePath
12252,11,2,America Movil Peru S.A.C.
50266,11,2,Odido Netherlands B.V.
31029,11,1,M-REAL NET Ltd.
44391,11,1,JSC Elektrosvyaz
41275,11,1,Lovitel LLC
42611,11,1,Full Fibre Limited
39735,11,1,"""Permtelecom"" Ltd"
50837,11,1,CLOUDSIGMA AG
54119,11,1,"WhiteSky Communications, LLC."
10100,11,1,UBS Group AG
60486,11,1,Swiss Networking Solutions AG
1248,11,1,HERE Global BV
207137,11,1,PacketHub S.A.
207353,11,1,Ruform LLC
