Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
736,49600,40,77,35
737,12042,40,47,40
738,13249,40,56,27
739,19332,40,47,35
740,264288,40,38,31
741,9425,40,41,40
742,6799,40,42,37
743,3561,40,45,40
744,5610,40,56,39
745,6661,40,62,35
746,21413,40,59,39
747,81,39,46,39
748,12722,39,59,37
749,34250,39,41,39
750,52587,39,39,37
751,394437,39,47,37
752,38272,39,40,39
753,2200,39,55,38
754,8283,38,78,37
755,35179,38,69,37
756,17072,38,69,36
757,10010,38,51,35
758,266167,38,40,30
759,13415,38,49,38
760,216211,38,66,35
761,266445,38,42,30
762,22909,38,43,38
763,273478,38,41,28
764,55330,38,43,37
765,58678,38,37,34
766,24940,38,83,33
767,19151,38,50,33
768,3112,38,38,37
769,16814,38,44,37
770,151690,38,38,34
771,38264,38,40,36
772,63199,38,84,34
773,9902,37,62,34
774,6866,37,61,30
775,27947,37,49,37
776,49544,37,89,32
777,327708,37,42,22
778,25645,37,50,35
779,53158,37,45,37
780,23470,37,55,32
781,21219,37,38,37
782,8422,37,67,34
783,43668,37,55,36
784,9658,37,87,36
785,11272,37,46,37
786,58945,37,43,35
787,51765,37,52,36
788,40850,37,61,28
789,262532,37,43,35
790,23910,37,39,35
791,132215,37,37,33
792,262494,37,43,34
793,45352,37,74,30
794,25394,36,67,32
795,12849,36,48,35
796,7720,36,48,34
797,20771,36,39,30
798,263327,36,49,36
799,10490,36,44,33
800,21559,36,47,35
801,31117,36,49,35
802,45629,36,58,23
803,22974,36,39,36
804,17501,36,37,36
805,1916,36,50,35
806,17922,36,49,35
807,61049,35,99,23
808,21013,35,63,30
809,146788,35,36,35
810,50581,35,63,33
811,24835,35,40,35
812,263238,35,42,35
813,22911,35,41,35
814,138423,35,38,34
815,29695,35,39,29
816,263629,35,37,31
817,263774,35,36,32
818,28202,35,42,29
819,11492,35,41,32
820,30036,35,42,34
821,45474,35,72,24
822,293,35,62,35
823,13329,35,40,33
824,19754,35,45,34
825,24323,35,40,35
826,28725,34,67,32
827,52840,34,40,33
828,9268,34,33,30
829,45274,34,37,30
830,17621,34,40,34
831,37061,34,37,34
832,35133,34,65,26
833,31261,34,37,34
834,267469,34,40,28
835,328748,34,59,33
836,37084,34,38,32
837,42739,33,53,29
838,327782,33,41,32
839,49127,33,69,29
840,12213,33,41,33
841,16904,33,37,33
842,21283,33,39,32
843,9905,33,37,30
844,24400,33,38,33
845,1136,33,62,24
846,5488,33,36,33
847,48648,33,45,31
848,263073,33,40,31
849,63961,33,37,33
850,133720,33,36,30
851,7782,33,40,33
852,51847,33,51,32
853,208293,33,41,26
854,9505,33,77,25
855,4213,33,46,32
856,17054,33,42,33
857,28158,33,38,31
858,2518,33,48,25
859,38022,32,44,32
860,21050,32,33,32
861,19114,32,38,32
862,3342,32,33,29
863,4538,32,50,28
864,3327,32,72,30
865,29278,32,47,26
866,264293,32,37,31
867,8470,32,39,31
868,262186,32,41,32
869,11758,32,37,30
